"Item Id","Title","Release","IAB Downloads (First 7)","IAB Downloads (First 30)","IAB Downloads (First 90)","IAB Downloads"
"40757180","#84: La trampa de dar barato tu trabajo, mi filtro para elegir socios y por qué registré mi empresa en USA","2026-04-07 13:33:00","N/A","N/A","N/A","800"
"40582215","#83:🗽Crónicas de NYC: Primer viaje en pareja, la ONU y el MET","2026-03-23 06:05:00","1052","N/A","N/A","1688"
"40267695","#82: Cómo tomar acción a pesar del miedo","2026-03-02 17:00:00","977","2030","N/A","2340"
"40187285","#81: Nadie es inalcanzable: Relaciones Públicas para que tu libro llegue a quien NECESITA escucharte","2026-02-22 08:00:00","652","933","N/A","1098"
"40119415","#80: La magia de la edición: Entrevista con mi editora en Penguin Random House","2026-02-16 01:29:00","678","902","N/A","1000"
"40031005","#79: Cómo crear una comunidad que quiera leer todo lo que escribas: Rodrigo Unda","2026-02-09 08:00:00","738","1193","N/A","1368"
"39997175","#78: La rutina que me convirtió en autor de 3 libros","2026-02-04 19:40:00","1140","1875","N/A","2189"
"39816500","#77: 🗝️ Dan Brown: El Código Creativo para un bestseller mundial","2026-01-21 19:34:00","1059","2796","N/A","3298"
"39611100","#76: 🇫🇷🥐 Lecciones de París para empezar 2026: Negocios, el arte de fabricar deseo, elevar tus estándares y relaciones sanas","2026-01-05 05:42:00","1465","2953","3383","3505"
"39412000","#75: Destino Visible + Suerte Entrenada","2025-12-15 16:22:00","743","1718","2357","2539"
"39334905","#74: Cómo balancear intensidad obsesiva con descanso estratégico (sin sentir culpa)","2025-12-09 07:17:00","918","1495","2049","2209"
"39159285","#73: Cómo prepararte antes de ejecutar tus metas: mi Segundo Cerebro en Notion","2025-11-25 00:07:00","1021","1733","2395","2624"
"39003210","#72: Cómo organizamos una empresa creativa desde adentro (Entrevista exclusiva a mi equipo)","2025-11-12 02:12:00","706","1112","1464","1671"
"38889815","Los primeros 6 capítulos de mi novela 🎧 Nada fue lo que creímos","2025-11-03 07:36:00","552","863","1089","1222"
"38889795","#70: Hacer de tu talento una profesión con cerebro y corazón: Jorge Lemus","2025-11-03 07:29:00","562","931","1284","1543"
"38799400","#69: Discurso: En cada época difícil hay personas que despegan","2025-10-27 23:04:00","660","1038","1274","1504"
"38489065","Activa tu mente estratégica 🎧  Meditación guiada","2025-10-06 22:55:00","692","1412","1736","2056"
"38468065","Día 7/7 🚀 El viaje a tu Potencial Total: La agenda oculta de tu ego","2025-10-05 06:00:00","653","974","1185","1377"
"38463665","Día 6/7 🚀 El viaje a tu Potencial Total: Si fracasas al planear estás planeando fracasar","2025-10-04 06:05:00","591","868","1039","1216"
"38452495","Día 5/7 🚀 El viaje a tu Potencial Total: Volver a emocionarte con lo que haces","2025-10-03 07:35:00","619","903","1081","1295"
"38436770","Día 4/7 🚀 El viaje a tu Potencial Total: El precio que ya estás pagando","2025-10-02 06:11:00","731","1007","1176","1344"
